City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Kirakira,SB,77.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
554,Buala,SB,76.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
555,Valparaiso,CL,68.23,few clouds,-33.0393,-71.6273,Hotel Ultramar
556,Kefamenanu,ID,71.35,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
559,Buenaventura,CO,80.8,few clouds,3.8801,-77.0312,La Casa Blanca Hotel
561,Rosa Zarate,EC,73.92,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
565,Da Nang,VN,75.18,broken clouds,16.0678,108.2208,Sun River Hotel
566,Rondon,BR,86.11,clear sky,-23.4172,-52.7722,Área de Lazer JK
567,Voh,NC,76.44,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
568,Coffs Harbour,AU,66.16,scattered clouds,-30.3,153.1333,Aquajet Motel
570,Tacuarembo,UY,70.0,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
572,Mango,US,79.14,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
574,Kutum,SD,75.11,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
575,Talcahuano,CL,80.28,clear sky,-36.7167,-73.1167,departamento comodo
576,Mecca,SA,79.03,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
577,Manyana,BW,87.64,few clouds,-23.4,21.7167,
579,Bongandanga,CD,94.06,overcast clouds,1.5,21.05,
580,Labuhan,ID,77.61,heavy intensity rain,-6.8844,112.2051,DoubleFAG
581,Thinadhoo,MV,82.02,overcast clouds,0.5333,72.9333,
582,Maputo,MZ,84.22,few clouds,-25.9653,32.5892,Pestana Rovuma
586,Jodhpur,IN,65.66,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
587,Liku,ID,73.36,heavy intensity rain,-0.7275,119.8922,Wahyu
588,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
589,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
593,Sibolga,ID,76.95,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
594,Kuruman,ZA,88.99,scattered clouds,-27.4524,23.4325,Cornerstone Guest House
598,Gigmoto,PH,76.48,light rain,13.7796,124.39,Cj's Travellers Inn
600,Samarai,PG,80.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
603,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
604,Sabla,NG,92.35,clear sky,12.7525,4.7077,
605,Funadhoo,MV,81.52,light rain,6.15,73.2667,Dhaffalhu Tourist Lodge
608,Casambalangan,PH,75.16,overcast clouds,18.3765,122.1274,Villa Saturnina
610,Charters Towers,AU,73.9,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
611,Sarh,TD,96.71,clear sky,9.1429,18.3923,Domicile 1sur le goudron
613,Rubiataba,BR,78.82,overcast clouds,-15.1644,-49.8033,Pousada dos anjos
614,That Phanom,TH,75.52,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
615,Hirara,JP,69.71,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
617,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
619,Antofagasta,CL,74.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
